clip_id,classes,n_shapes,std_mean_abs_torque_normalized,std_mean_power_mass_normalized,std_normalized_jerk
010120,walking,128,0.0001818468621382037,0.2065507539682608,190.79693991464453
010127,walking;standing,128,0.00020379708464395995,0.27819427431922744,593.1198508735143
010471,other,128,0.00021462960786774318,0.5230793534935302,363.705837113191
010504,running;standing,128,0.0001427472328155859,0.26990543765124153,231.23158625403093
010528,walking;sitting;standing,128,0.00018919989504029817,0.24014162888072724,462.36292132559544
010905,standing,128,0.0001761423760522934,0.21099069317306834,138.56969096219524
011023,other,128,0.00030417038954611003,0.3489373666652028,919.8511213357153
011089,dancing,128,0.0001509602648462876,0.19203664597508477,264.2416620113351
011108,dancing,128,0.00013790734482714022,0.15082400477978244,120.36128455655245
012721,walking,128,0.00020521721234996384,0.22156227082022895,701.5846055273363
012891,walking,128,0.00015247877909309066,0.1860264888388249,271.7843058931607
013181,walking,128,0.00018957427581800702,0.25825030970714724,567.5857592368217
013367,other,128,0.0002311287642678321,0.2501134603352478,472.95532202976176
013413,walking,128,0.0001670808847227464,0.19707633372976316,234.99276786511453
013599,walking,128,0.00024314751173686055,0.27842311945834575,309.3916360862893
014096,walking,128,0.000197141571877604,0.22263115783785206,429.56657187847213
014167,walking,128,0.000161243539803375,0.2488086351605013,261.77992565390343
014351,walking,128,0.00015667219365463145,0.1782514585784802,423.67253229664306
014400,kicking;dancing;standing,128,0.0003827515476500084,0.7740624286506984,745.9288260101963
014558,walking,128,0.00018644188311199862,0.23413585389445854,336.01665755564943
M000491,walking;jumping,128,0.0001627870768017095,0.18181767651321254,351.3459155579606
M000492,walking,128,0.0001864051394668807,0.23026089602144703,438.5448388530525
M000508,standing,128,0.0001683332298762923,0.15815245729648425,88.37341713849405
M000541,other,128,0.0001998281584946949,0.18768067520341689,401.1193855977352
M000594,jumping,128,0.00017273002181909726,0.2146026828270272,268.2854253353764
M000725,other,128,0.0001293224454981328,0.14340763338104334,110.94565556163296
M000919,walking,128,0.00024229983172425627,0.2428144502732123,357.50380866776163
M001062,kicking,128,0.00019478240331880303,0.21236930319261216,603.8740693961252
M001208,walking,128,0.00021022462599979392,0.25692622020564176,535.6610040383639
M001242,other,128,0.0002072115345301107,0.31694294540381723,683.0089101770951
M001499,walking,128,0.0001699247063446351,0.19933663991863898,237.19042012874692
M001501,walking,128,0.00020702571688063177,0.2582671834958279,602.6684689631783
M001540,standing,128,0.00019826595020951915,0.2045502589679811,175.3496143129637
M001658,walking,128,0.00016484730214222202,0.22097550355152815,420.9696073045055
M001679,other,128,0.00019994778186560401,0.20840018297615603,180.88726256696015
M001688,walking,128,0.0002054012648713524,0.2985489962811202,658.8676254263927
M001717,standing,128,0.00019138883725741015,0.19987355080051658,481.974285293316
M002028,other,128,0.00016499949622962514,0.1742517263548208,520.7913510268677
M002096,other,128,0.00017111121534011935,0.1866704701916948,367.05985473160206
M002261,walking,128,0.0001759438225126468,0.20893915359912532,482.4703256732766
M002534,jumping,128,0.0001377501903919887,0.19044283561538417,231.6758259455551
