clip_id,asset_id,motion_id,episode_len_steps,success,terminated,max_gt_error,mean_gt_error,mean_gr_error
003200,female_0d2e4580,4033,198,1,0,0.14580853283405304,0.07623018324375153,0.13422758877277374
003209,female_0d2e4580,4065,198,1,0,0.22780919075012207,0.08587482571601868,0.14830447733402252
000007,male_1d4da893,2,198,1,0,0.15617085993289948,0.09244117140769958,0.22375522553920746
000009,male_1d4da893,34,198,1,0,0.11622478812932968,0.0903051570057869,0.32627999782562256
000015,male_1d4da893,66,198,1,0,0.27126574516296387,0.13397955894470215,0.4121743440628052
000029,male_1d4da893,98,198,1,0,0.13277021050453186,0.07421216368675232,0.22651910781860352
000032,male_1d4da893,130,198,1,0,0.15923777222633362,0.0955178514122963,0.22181189060211182
000041,male_1d4da893,162,198,1,0,0.10493545234203339,0.07735199481248856,0.1593242734670639
000093,male_1d4da893,194,198,1,0,0.12204360216856003,0.08165766298770905,0.16836030781269073
000108,male_1d4da893,226,198,1,0,0.16234897077083588,0.09841826558113098,0.30719733238220215
000128,male_1d4da893,258,198,1,0,0.25244665145874023,0.15440072119235992,0.4068523347377777
000135,male_1d4da893,290,198,1,0,0.22074095904827118,0.12776018679141998,0.32764339447021484
000156,male_1d4da893,322,198,1,0,0.2338990420103073,0.1762617826461792,0.55419921875
000171,male_1d4da893,354,198,1,0,0.22528384625911713,0.11560923606157303,0.23753933608531952
000210,male_1d4da893,386,198,1,0,0.17401263117790222,0.11320601403713226,0.24129782617092133
000225,male_1d4da893,418,198,1,0,0.2503102421760559,0.16122333705425262,0.437336266040802
000256,male_1d4da893,450,198,1,0,0.19014191627502441,0.10836917161941528,0.20021188259124756
000257,male_1d4da893,482,198,1,0,0.16683904826641083,0.09006299823522568,0.19594039022922516
000280,male_1d4da893,514,198,1,0,0.14885230362415314,0.10246577113866806,0.41728395223617554
000317,male_1d4da893,546,198,1,0,0.22007596492767334,0.10798552632331848,0.3398856818675995
000327,male_1d4da893,578,198,1,0,0.20300059020519257,0.1256590038537979,0.3095426559448242
000336,male_1d4da893,610,198,1,0,0.21484830975532532,0.14508715271949768,0.42507365345954895
000362,male_1d4da893,642,198,1,0,0.12467676401138306,0.0811057835817337,0.17910195887088776
000438,male_1d4da893,674,198,1,0,0.13451585173606873,0.08594456315040588,0.2576819062232971
000516,male_1d4da893,706,198,1,0,0.16639344394207,0.10287496447563171,0.16137413680553436
000522,male_1d4da893,738,198,1,0,0.1368865966796875,0.09165484458208084,0.20026035606861115
000523,male_1d4da893,770,198,1,0,0.2711069881916046,0.16436241567134857,0.3941929340362549
000537,male_1d4da893,802,198,1,0,0.19738531112670898,0.11415214091539383,0.21084876358509064
000542,male_1d4da893,834,198,1,0,0.16748079657554626,0.08129820227622986,0.1704249531030655
000556,male_1d4da893,866,198,1,0,0.14938190579414368,0.09958609938621521,0.22027699649333954
000615,male_1d4da893,898,198,1,0,0.19728516042232513,0.09096270799636841,0.22063826024532318
000654,male_1d4da893,930,198,1,0,0.24354645609855652,0.14526480436325073,0.3253677189350128
000691,male_1d4da893,962,198,1,0,0.09291262924671173,0.07153809815645218,0.17832624912261963
000712,male_1d4da893,994,198,1,0,0.18752989172935486,0.12548066675662994,0.3227297067642212
